Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12388;GCP;0.004;0.008;-0.002;0.006;0.008;0.337
StkdT_12387;GCP;0.004;0.009;0.021;0.025;-0.025;0.510
StkdT_12319;GCP;0.004;0.008;-0.009;-0.011;-0.012;0.467
StkdT_12378;GCP;0.007;0.015;-0.008;-0.004;-0.027;0.227
StkdT_12376;GCP;0.008;0.018;-0.012;-0.005;0.017;0.392
StkdT_12385;GCP;0.004;0.011;0.020;-0.019;0.023;0.515
StkdT_12317;GCP;0.004;0.008;-0.008;-0.001;-0.031;0.556
StkdT_12362;GCP;0.004;0.008;0.002;0.009;-0.004;0.532
StkdT_12373;GCP;0.004;0.008;0.001;-0.002;0.010;0.618
StkdT_12374;GCP;0.006;0.010;-0.011;-0.001;-0.010;0.472
StkdT_12361;GCP;0.006;0.014;0.004;-0.005;-0.004;0.241
StkdT_12389;Checkpoint;0.0047;0.0107;0.0008;0.0329;0.0235;0.6207
StkdT_12383;Checkpoint;0.0039;0.0073;-0.0083;0.0007;-0.0290;0.6306
StkdT_12382;Checkpoint;0.0043;0.0082;-0.0141;0.0041;0.0174;0.3567
StkdT_12320;Checkpoint;0.0050;0.0090;-0.0110;0.0145;-0.0210;0.4162
StkdT_12381;Checkpoint;0.0049;0.0093;0.0009;-0.0233;0.0307;0.3233
StkdT_12379;Checkpoint;0.0059;0.0130;0.0014;0.0135;0.0030;0.4308
StkdT_12380;Checkpoint;0.0080;0.0175;-0.0484;-0.0217;0.0036;0.3667
StkdT_12303;Checkpoint;0.0050;0.0111;0.0564;-0.0293;-0.0259;0.5262
StkdT_12375;Checkpoint;0.0091;0.0205;-0.0090;0.0215;0.0533;0.3766
StkdT_12386;Checkpoint;0.0038;0.0094;0.0148;0.0159;0.0167;0.4812
StkdT_12384;Checkpoint;0.0042;0.0100;0.0265;0.0052;0.0398;0.4488
StkdT_12371;Checkpoint;0.0040;0.0082;0.0035;0.0687;-0.0483;0.4185
StkdT_12316;Checkpoint;0.0044;0.0082;0.0175;0.0277;-0.0068;0.3756
StkdT_12369;Checkpoint;0.0048;0.0087;-0.0087;0.0350;-0.0025;0.6267
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0046;0.0432;0.0796;0.4805
StkdT_12370;Checkpoint;0.0043;0.0074;0.0035;0.0086;0.0453;0.2475
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0624;0.0262;0.0694;0.5504
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0053;0.0034;-0.0217;0.3492
StkdT_12364;Checkpoint;0.0055;0.0116;0.0512;-0.0305;-0.0160;0.2885
StkdT_12363;Checkpoint;0.0037;0.0091;0.0389;-0.0104;-0.0056;0.3133
