Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12388;GCP;0.004;0.008;-0.002;0.004;0.008;0.335
StkdT_12387;GCP;0.004;0.009;0.023;0.026;-0.029;0.534
StkdT_12319;GCP;0.004;0.008;0.001;-0.012;-0.008;0.466
StkdT_12383;GCP;0.004;0.007;-0.002;-0.001;-0.010;0.652
StkdT_12382;GCP;0.004;0.008;-0.008;0.001;0.011;0.333
StkdT_12320;GCP;0.005;0.009;-0.002;0.007;-0.007;0.398
StkdT_12378;GCP;0.007;0.015;-0.007;-0.005;-0.031;0.223
StkdT_12379;GCP;0.006;0.013;0.011;0.014;0.002;0.486
StkdT_12380;GCP;0.008;0.018;-0.020;-0.008;0.005;0.385
StkdT_12376;GCP;0.008;0.018;-0.010;-0.005;0.023;0.474
StkdT_12386;GCP;0.004;0.009;0.007;-0.000;0.008;0.469
StkdT_12385;GCP;0.004;0.011;0.017;-0.024;0.016;0.531
StkdT_12384;GCP;0.004;0.010;0.012;0.004;0.009;0.466
StkdT_12371;GCP;0.004;0.008;0.005;0.026;-0.009;0.483
StkdT_12317;GCP;0.004;0.008;-0.006;-0.015;-0.035;0.642
StkdT_12362;GCP;0.004;0.008;0.006;0.006;-0.008;0.527
StkdT_12316;GCP;0.004;0.008;0.005;0.015;-0.001;0.415
StkdT_12369;GCP;0.005;0.009;-0.006;0.017;0.000;0.651
StkdT_12373;GCP;0.004;0.008;0.004;-0.012;0.010;0.633
StkdT_12372;GCP;0.011;0.019;-0.030;0.010;0.039;0.588
StkdT_12374;GCP;0.006;0.010;-0.009;-0.014;-0.015;0.535
StkdT_12361;GCP;0.006;0.014;-0.002;-0.011;-0.007;0.234
StkdT_12364;GCP;0.005;0.012;0.005;-0.009;-0.007;0.346
StkdT_12389;Checkpoint;0.0047;0.0107;0.0046;0.0307;0.0251;0.6204
StkdT_12381;Checkpoint;0.0049;0.0093;0.0087;-0.0245;0.0335;0.3359
StkdT_12303;Checkpoint;0.0050;0.0111;0.0544;-0.0192;-0.0252;0.5307
StkdT_12375;Checkpoint;0.0091;0.0205;-0.0005;0.0114;0.0619;0.3890
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0006;0.0283;0.0680;0.4360
StkdT_12370;Checkpoint;0.0043;0.0074;0.0117;0.0009;0.0610;0.3017
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0098;-0.0045;-0.0199;0.3446
StkdT_12363;Checkpoint;0.0037;0.0091;0.0326;0.0117;-0.0184;0.3093
