Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12388;GCP;0.004;0.008;-0.002;0.004;0.008;0.334
StkdT_12387;GCP;0.004;0.009;0.026;0.025;-0.028;0.533
StkdT_12319;GCP;0.004;0.008;0.002;-0.013;-0.008;0.469
StkdT_12383;GCP;0.004;0.007;-0.002;-0.002;-0.010;0.646
StkdT_12382;GCP;0.004;0.008;-0.005;0.002;0.015;0.338
StkdT_12320;GCP;0.005;0.009;-0.002;0.006;-0.008;0.399
StkdT_12378;GCP;0.007;0.015;-0.007;-0.005;-0.030;0.231
StkdT_12379;GCP;0.006;0.013;0.011;0.014;0.001;0.485
StkdT_12380;GCP;0.008;0.018;-0.019;-0.008;0.005;0.385
StkdT_12376;GCP;0.008;0.018;-0.011;-0.009;0.023;0.407
StkdT_12386;GCP;0.004;0.009;0.007;0.007;0.001;0.441
StkdT_12385;GCP;0.004;0.011;0.021;-0.021;0.023;0.529
StkdT_12317;GCP;0.004;0.008;-0.009;-0.003;-0.033;0.571
StkdT_12362;GCP;0.004;0.008;0.001;0.009;-0.003;0.524
StkdT_12316;GCP;0.004;0.008;0.004;0.018;0.003;0.428
StkdT_12373;GCP;0.004;0.008;0.001;-0.003;0.011;0.617
StkdT_12374;GCP;0.006;0.010;-0.012;-0.003;-0.009;0.460
StkdT_12361;GCP;0.006;0.014;-0.001;-0.009;-0.006;0.241
StkdT_12364;GCP;0.005;0.012;0.005;-0.009;-0.007;0.349
StkdT_12389;Checkpoint;0.0047;0.0107;0.0044;0.0305;0.0251;0.6196
StkdT_12381;Checkpoint;0.0049;0.0093;0.0092;-0.0254;0.0330;0.3339
StkdT_12303;Checkpoint;0.0050;0.0111;0.0544;-0.0182;-0.0267;0.5222
StkdT_12375;Checkpoint;0.0091;0.0205;0.0001;0.0111;0.0632;0.3882
StkdT_12384;Checkpoint;0.0042;0.0100;0.0288;0.0050;0.0341;0.4539
StkdT_12371;Checkpoint;0.0040;0.0082;0.0007;0.0657;-0.0598;0.4157
StkdT_12369;Checkpoint;0.0048;0.0087;-0.0124;0.0314;0.0079;0.6260
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0073;0.0399;0.0756;0.4773
StkdT_12370;Checkpoint;0.0043;0.0074;0.0034;0.0043;0.0605;0.2391
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0647;0.0217;0.0708;0.5683
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0094;0.0024;-0.0130;0.3452
StkdT_12363;Checkpoint;0.0037;0.0091;0.0312;0.0104;-0.0204;0.3119
