Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12389;GCP;0.005;0.011;0.002;0.014;0.015;0.620
StkdT_12388;GCP;0.004;0.008;-0.001;0.002;0.009;0.343
StkdT_12387;GCP;0.004;0.009;0.023;0.025;-0.026;0.543
StkdT_12319;GCP;0.004;0.008;0.001;-0.012;-0.008;0.465
StkdT_12383;GCP;0.004;0.007;-0.004;-0.001;-0.015;0.665
StkdT_12382;GCP;0.004;0.008;-0.009;0.001;0.014;0.334
StkdT_12320;GCP;0.005;0.009;-0.002;0.001;-0.000;0.415
StkdT_12378;GCP;0.007;0.015;-0.016;-0.012;-0.036;0.308
StkdT_12379;GCP;0.006;0.013;0.009;0.014;0.002;0.491
StkdT_12380;GCP;0.008;0.018;-0.020;-0.006;0.002;0.360
StkdT_12303;GCP;0.005;0.011;0.023;-0.009;-0.016;0.527
StkdT_12376;GCP;0.008;0.018;-0.010;-0.005;0.020;0.476
StkdT_12386;GCP;0.004;0.009;0.008;0.001;-0.001;0.455
StkdT_12385;GCP;0.004;0.011;0.017;-0.022;0.005;0.537
StkdT_12384;GCP;0.004;0.010;0.012;0.004;0.010;0.469
StkdT_12371;GCP;0.004;0.008;0.005;0.025;-0.010;0.485
StkdT_12317;GCP;0.004;0.008;-0.006;-0.014;-0.034;0.638
StkdT_12362;GCP;0.004;0.008;-0.000;0.009;0.004;0.528
StkdT_12316;GCP;0.004;0.008;0.002;0.013;-0.003;0.405
StkdT_12369;GCP;0.005;0.009;-0.007;0.018;-0.000;0.651
StkdT_12373;GCP;0.004;0.008;0.003;-0.012;0.009;0.631
StkdT_12370;GCP;0.004;0.007;0.004;0.002;0.028;0.319
StkdT_12372;GCP;0.011;0.019;-0.031;0.010;0.035;0.591
StkdT_12374;GCP;0.006;0.010;-0.010;-0.014;-0.017;0.530
StkdT_12361;GCP;0.006;0.014;-0.002;-0.011;-0.009;0.235
StkdT_12364;GCP;0.005;0.012;0.004;-0.014;-0.006;0.315
StkdT_12363;GCP;0.004;0.009;0.009;0.004;0.000;0.289
StkdT_12381;Checkpoint;0.0049;0.0093;0.0072;-0.0276;0.0387;0.3367
StkdT_12375;Checkpoint;0.0091;0.0205;-0.0005;0.0116;0.0593;0.3876
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0006;0.0285;0.0591;0.4348
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0109;-0.0047;-0.0226;0.3468
