Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12388;GCP;0.004;0.008;-0.001;0.006;0.008;0.345
StkdT_12387;GCP;0.004;0.009;0.025;0.027;-0.029;0.517
StkdT_12319;GCP;0.004;0.008;0.002;-0.012;-0.014;0.468
StkdT_12382;GCP;0.004;0.008;-0.005;0.003;0.010;0.341
StkdT_12378;GCP;0.007;0.015;-0.007;-0.000;-0.024;0.251
StkdT_12380;GCP;0.008;0.018;-0.011;-0.004;0.005;0.331
StkdT_12376;GCP;0.008;0.018;-0.011;-0.010;0.017;0.409
StkdT_12386;GCP;0.004;0.009;0.007;0.007;-0.000;0.440
StkdT_12385;GCP;0.004;0.011;0.020;-0.021;0.019;0.525
StkdT_12317;GCP;0.004;0.008;-0.010;-0.003;-0.033;0.570
StkdT_12362;GCP;0.004;0.008;-0.005;0.006;0.004;0.512
StkdT_12316;GCP;0.004;0.008;0.007;0.011;0.002;0.384
StkdT_12373;GCP;0.004;0.008;0.001;-0.004;0.009;0.624
StkdT_12374;GCP;0.006;0.010;-0.012;-0.003;-0.011;0.458
StkdT_12361;GCP;0.006;0.014;0.005;-0.010;-0.005;0.245
StkdT_12389;Checkpoint;0.0047;0.0107;0.0049;0.0372;0.0258;0.6141
StkdT_12383;Checkpoint;0.0039;0.0073;-0.0034;-0.0038;-0.0317;0.6252
StkdT_12320;Checkpoint;0.0050;0.0090;-0.0053;0.0175;-0.0216;0.4244
StkdT_12381;Checkpoint;0.0049;0.0093;0.0097;-0.0184;0.0323;0.3453
StkdT_12379;Checkpoint;0.0059;0.0130;0.0193;0.0326;0.0171;0.5097
StkdT_12303;Checkpoint;0.0050;0.0111;0.0544;-0.0119;-0.0168;0.5285
StkdT_12375;Checkpoint;0.0091;0.0205;0.0002;0.0101;0.0533;0.3830
StkdT_12384;Checkpoint;0.0042;0.0100;0.0278;0.0052;0.0331;0.4485
StkdT_12371;Checkpoint;0.0040;0.0082;0.0008;0.0654;-0.0598;0.4169
StkdT_12369;Checkpoint;0.0048;0.0087;-0.0128;0.0296;0.0029;0.6295
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0074;0.0397;0.0718;0.4762
StkdT_12370;Checkpoint;0.0043;0.0074;0.0025;0.0039;0.0465;0.2488
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0656;0.0219;0.0663;0.5554
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0087;-0.0002;-0.0224;0.3382
StkdT_12364;Checkpoint;0.0055;0.0116;0.0395;-0.0527;-0.0294;0.2686
StkdT_12363;Checkpoint;0.0037;0.0091;0.0195;-0.0226;-0.0082;0.3090
