Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12389;GCP;0.005;0.011;-0.000;0.019;0.026;0.606
StkdT_12387;GCP;0.004;0.009;0.021;0.025;-0.032;0.534
StkdT_12319;GCP;0.004;0.008;0.003;-0.015;-0.025;0.424
StkdT_12383;GCP;0.004;0.007;-0.007;-0.007;-0.013;0.597
StkdT_12382;GCP;0.004;0.008;-0.008;-0.001;-0.007;0.342
StkdT_12320;GCP;0.005;0.009;-0.010;0.004;0.018;0.383
StkdT_12381;GCP;0.005;0.009;0.004;-0.014;0.006;0.368
StkdT_12378;GCP;0.007;0.015;-0.006;-0.008;-0.020;0.248
StkdT_12379;GCP;0.006;0.013;0.012;0.015;-0.010;0.496
StkdT_12380;GCP;0.008;0.018;-0.018;-0.007;0.000;0.384
StkdT_12375;GCP;0.009;0.021;0.000;0.002;0.047;0.372
StkdT_12384;GCP;0.004;0.010;0.013;-0.004;0.009;0.432
StkdT_12371;GCP;0.004;0.008;0.010;0.020;-0.016;0.462
StkdT_12317;GCP;0.004;0.008;-0.003;-0.014;-0.028;0.630
StkdT_12316;GCP;0.004;0.008;0.005;0.013;0.001;0.388
StkdT_12369;GCP;0.005;0.009;-0.005;0.020;0.006;0.645
StkdT_12373;GCP;0.004;0.008;0.005;-0.013;0.006;0.647
StkdT_12318;GCP;0.004;0.007;-0.002;0.011;0.021;0.492
StkdT_12370;GCP;0.004;0.007;0.003;-0.006;0.008;0.217
StkdT_12374;GCP;0.006;0.010;-0.013;-0.010;-0.018;0.509
StkdT_12360;GCP;0.006;0.011;-0.003;-0.001;-0.007;0.360
StkdT_12361;GCP;0.006;0.014;0.005;-0.011;0.000;0.244
StkdT_12363;GCP;0.004;0.009;0.002;-0.002;0.001;0.294
StkdT_12388;Checkpoint;0.0038;0.0082;-0.0140;0.0162;0.1543;0.3480
StkdT_12303;Checkpoint;0.0050;0.0111;0.0580;-0.0268;-0.0365;0.5319
StkdT_12376;Checkpoint;0.0076;0.0179;-0.0275;-0.0221;0.0897;0.4550
StkdT_12386;Checkpoint;0.0038;0.0094;0.0203;-0.0179;-0.0076;0.4925
StkdT_12385;Checkpoint;0.0044;0.0107;0.0280;-0.0486;-0.0160;0.4936
StkdT_12362;Checkpoint;0.0041;0.0078;0.0025;0.0198;0.0138;0.5052
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0652;0.0060;0.0568;0.6235
StkdT_12364;Checkpoint;0.0055;0.0116;-0.0110;0.0443;-0.3393;0.2481
