Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12383;GCP;0.004;0.007;-0.002;0.002;-0.001;0.552
StkdT_12318;GCP;0.004;0.007;-0.001;0.002;-0.000;0.488
StkdT_12370;GCP;0.004;0.007;0.005;-0.006;-0.004;0.194
StkdT_12389;Checkpoint;0.0047;0.0107;-0.0659;0.1608;0.2709;0.5976
StkdT_12388;Checkpoint;0.0038;0.0082;-0.1557;0.1585;0.3463;0.3506
StkdT_12387;Checkpoint;0.0043;0.0090;-0.0235;0.0709;-0.1114;0.5144
StkdT_12319;Checkpoint;0.0039;0.0076;0.0071;0.0275;0.0907;0.4444
StkdT_12382;Checkpoint;0.0043;0.0082;-0.0297;0.0309;-0.0457;0.3733
StkdT_12320;Checkpoint;0.0050;0.0090;-0.1092;0.0754;0.1204;0.3988
StkdT_12381;Checkpoint;0.0049;0.0093;-0.0333;0.0513;0.1050;0.3263
StkdT_12378;Checkpoint;0.0070;0.0151;-0.0469;0.1529;0.2979;0.2783
StkdT_12379;Checkpoint;0.0059;0.0130;-0.0001;0.1230;0.1917;0.3895
StkdT_12380;Checkpoint;0.0080;0.0175;-0.0108;0.0682;0.2063;0.3264
StkdT_12303;Checkpoint;0.0050;0.0111;0.0564;0.1250;0.3066;0.5608
StkdT_12375;Checkpoint;0.0091;0.0205;0.0259;0.0419;0.2122;0.3526
StkdT_12376;Checkpoint;0.0076;0.0179;0.0023;-0.0173;0.2031;0.4001
StkdT_12386;Checkpoint;0.0038;0.0094;0.0091;-0.0216;-0.1916;0.5057
StkdT_12385;Checkpoint;0.0044;0.0107;0.0134;-0.0466;-0.1530;0.4851
StkdT_12384;Checkpoint;0.0042;0.0100;-0.0114;0.0014;-0.1598;0.4256
StkdT_12371;Checkpoint;0.0040;0.0082;0.0010;0.0238;-0.2999;0.4344
StkdT_12317;Checkpoint;0.0040;0.0080;-0.0104;-0.0337;-0.3228;0.4884
StkdT_12362;Checkpoint;0.0041;0.0078;-0.0257;0.0188;-0.0215;0.5099
StkdT_12316;Checkpoint;0.0044;0.0082;-0.0228;-0.0062;0.1115;0.3724
StkdT_12369;Checkpoint;0.0048;0.0087;-0.0212;0.0059;-0.0711;0.6147
StkdT_12373;Checkpoint;0.0043;0.0078;0.0007;-0.0469;-0.0794;0.6331
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0446;-0.0118;0.1829;0.5830
StkdT_12374;Checkpoint;0.0058;0.0103;-0.0095;-0.0579;0.0632;0.5267
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0113;-0.0539;0.0709;0.3806
StkdT_12361;Checkpoint;0.0064;0.0137;-0.0097;-0.0815;0.2157;0.1916
StkdT_12364;Checkpoint;0.0055;0.0116;-0.0642;0.0108;0.0236;0.2872
StkdT_12363;Checkpoint;0.0037;0.0091;-0.0472;-0.0138;0.2308;0.2988
