Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12319;GCP;0.004;0.008;0.003;-0.002;-0.005;0.461
StkdT_12383;GCP;0.004;0.007;-0.001;-0.004;-0.003;0.585
StkdT_12382;GCP;0.004;0.008;-0.003;0.004;-0.018;0.379
StkdT_12381;GCP;0.005;0.009;-0.002;0.001;0.014;0.325
StkdT_12373;GCP;0.004;0.008;-0.000;-0.003;-0.003;0.650
StkdT_12318;GCP;0.004;0.007;0.001;0.010;0.016;0.479
StkdT_12370;GCP;0.004;0.007;0.008;-0.006;0.002;0.214
StkdT_12389;Checkpoint;0.0047;0.0107;-0.0312;0.0816;0.0478;0.5991
StkdT_12388;Checkpoint;0.0038;0.0082;-0.0883;0.0687;0.1117;0.3538
StkdT_12387;Checkpoint;0.0043;0.0090;0.0237;0.0380;-0.0751;0.5179
StkdT_12320;Checkpoint;0.0050;0.0090;-0.0491;0.0162;0.0167;0.3969
StkdT_12378;Checkpoint;0.0070;0.0151;-0.0285;0.0568;-0.0438;0.2786
StkdT_12379;Checkpoint;0.0059;0.0130;0.0063;0.0569;-0.0213;0.3790
StkdT_12380;Checkpoint;0.0080;0.0175;-0.0225;0.0138;0.0007;0.3359
StkdT_12303;Checkpoint;0.0050;0.0111;0.0540;0.0342;-0.0472;0.5604
StkdT_12375;Checkpoint;0.0091;0.0205;0.0120;0.0233;0.1113;0.3608
StkdT_12376;Checkpoint;0.0076;0.0179;-0.0063;-0.0186;0.1423;0.4449
StkdT_12386;Checkpoint;0.0038;0.0094;0.0319;-0.0116;-0.0858;0.4897
StkdT_12385;Checkpoint;0.0044;0.0107;0.0393;-0.0473;-0.0602;0.4980
StkdT_12384;Checkpoint;0.0042;0.0100;0.0305;-0.0093;-0.0406;0.4246
StkdT_12371;Checkpoint;0.0040;0.0082;0.0222;0.0540;-0.1606;0.4376
StkdT_12317;Checkpoint;0.0040;0.0080;0.0104;0.0242;-0.1484;0.4863
StkdT_12362;Checkpoint;0.0041;0.0078;-0.0364;0.1221;0.0927;0.5110
StkdT_12316;Checkpoint;0.0044;0.0082;-0.0556;0.0798;0.1454;0.3749
StkdT_12369;Checkpoint;0.0048;0.0087;-0.0286;0.0781;0.0288;0.6150
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0510;-0.0142;0.1033;0.6423
StkdT_12374;Checkpoint;0.0058;0.0103;-0.0328;-0.0393;0.0123;0.5607
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0432;-0.0041;0.0616;0.3845
StkdT_12361;Checkpoint;0.0064;0.0137;-0.0622;-0.0220;0.1552;0.1925
StkdT_12364;Checkpoint;0.0055;0.0116;-0.1265;0.1020;-0.0389;0.2885
StkdT_12363;Checkpoint;0.0037;0.0091;-0.0895;0.1036;0.2532;0.2987
