Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12387;GCP;0.004;0.009;0.019;0.025;-0.029;0.529
StkdT_12319;GCP;0.004;0.008;-0.004;-0.009;-0.014;0.452
StkdT_12383;GCP;0.004;0.007;-0.006;-0.004;-0.004;0.592
StkdT_12382;GCP;0.004;0.008;-0.008;-0.000;0.000;0.342
StkdT_12320;GCP;0.005;0.009;-0.016;0.006;0.009;0.349
StkdT_12381;GCP;0.005;0.009;-0.000;-0.011;0.010;0.348
StkdT_12379;GCP;0.006;0.013;-0.001;0.011;-0.027;0.440
StkdT_12384;GCP;0.004;0.010;0.014;-0.005;0.005;0.431
StkdT_12369;GCP;0.005;0.009;0.001;0.020;-0.027;0.647
StkdT_12373;GCP;0.004;0.008;0.005;-0.011;-0.006;0.674
StkdT_12318;GCP;0.004;0.007;-0.000;0.014;0.020;0.484
StkdT_12370;GCP;0.004;0.007;0.005;-0.004;0.007;0.219
StkdT_12374;GCP;0.006;0.010;-0.011;-0.011;-0.004;0.522
StkdT_12360;GCP;0.006;0.011;-0.002;-0.000;-0.005;0.348
StkdT_12361;GCP;0.006;0.014;0.004;-0.004;0.006;0.223
StkdT_12389;CheckPoint;0.0047;0.0107;-0.0118;0.0395;0.0089;0.5965
StkdT_12388;CheckPoint;0.0038;0.0082;-0.0310;0.0353;0.0675;0.3458
StkdT_12378;CheckPoint;0.0070;0.0151;-0.0214;-0.0165;-0.1100;0.2897
StkdT_12380;CheckPoint;0.0080;0.0175;-0.0466;-0.0125;-0.0178;0.3352
StkdT_12303;CheckPoint;0.0050;0.0111;0.0359;-0.0386;-0.1150;0.5742
StkdT_12375;CheckPoint;0.0091;0.0205;0.0004;0.0222;0.0836;0.3666
StkdT_12376;CheckPoint;0.0076;0.0179;-0.0171;-0.0164;0.1029;0.4258
StkdT_12386;CheckPoint;0.0038;0.0094;0.0199;-0.0092;-0.0532;0.5132
StkdT_12385;CheckPoint;0.0044;0.0107;0.0292;-0.0468;-0.0226;0.4862
StkdT_12371;CheckPoint;0.0040;0.0082;0.0075;0.0498;-0.1350;0.4204
StkdT_12317;CheckPoint;0.0040;0.0080;-0.0097;-0.0128;-0.1526;0.5445
StkdT_12362;CheckPoint;0.0041;0.0078;0.0349;0.0203;-0.0390;0.5054
StkdT_12316;CheckPoint;0.0044;0.0082;0.0279;0.0357;-0.0024;0.3990
StkdT_12372;CheckPoint;0.0111;0.0191;-0.0605;0.0045;0.0820;0.6247
StkdT_12364;CheckPoint;0.0055;0.0116;0.0136;0.0939;-0.2927;0.2827
StkdT_12363;CheckPoint;0.0037;0.0091;0.0575;0.0247;0.0087;0.3022
