Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12387;GCP;0.004;0.009;0.019;0.025;-0.028;0.524
StkdT_12319;GCP;0.004;0.008;0.003;-0.014;-0.024;0.424
StkdT_12383;GCP;0.004;0.007;-0.007;-0.007;-0.011;0.601
StkdT_12382;GCP;0.004;0.008;-0.008;-0.001;-0.003;0.347
StkdT_12320;GCP;0.005;0.009;-0.017;0.006;0.013;0.355
StkdT_12381;GCP;0.005;0.009;0.001;-0.010;0.007;0.365
StkdT_12379;GCP;0.006;0.013;0.009;0.019;-0.023;0.489
StkdT_12380;GCP;0.008;0.018;-0.018;-0.003;-0.006;0.354
StkdT_12375;GCP;0.009;0.021;0.001;0.003;0.044;0.373
StkdT_12384;GCP;0.004;0.010;0.012;-0.005;0.010;0.429
StkdT_12371;GCP;0.004;0.008;0.010;0.020;-0.015;0.460
StkdT_12317;GCP;0.004;0.008;-0.003;-0.015;-0.029;0.627
StkdT_12369;GCP;0.005;0.009;0.002;0.021;0.010;0.641
StkdT_12373;GCP;0.004;0.008;0.005;-0.013;0.006;0.646
StkdT_12318;GCP;0.004;0.007;-0.002;0.011;0.021;0.495
StkdT_12370;GCP;0.004;0.007;0.003;-0.006;0.007;0.217
StkdT_12374;GCP;0.006;0.010;-0.013;-0.011;-0.019;0.516
StkdT_12360;GCP;0.006;0.011;-0.002;-0.000;-0.006;0.355
StkdT_12361;GCP;0.006;0.014;0.004;-0.005;0.003;0.231
StkdT_12389;Checkpoint;0.0047;0.0107;-0.0122;0.0436;0.0080;0.5958
StkdT_12388;Checkpoint;0.0038;0.0082;-0.0361;0.0359;0.0783;0.3408
StkdT_12378;Checkpoint;0.0070;0.0151;-0.0199;-0.0066;-0.1088;0.2942
StkdT_12303;Checkpoint;0.0050;0.0111;0.0412;-0.0230;-0.1059;0.5661
StkdT_12376;Checkpoint;0.0076;0.0179;-0.0264;-0.0230;0.0839;0.4516
StkdT_12386;Checkpoint;0.0038;0.0094;0.0201;-0.0180;-0.0068;0.4927
StkdT_12385;Checkpoint;0.0044;0.0107;0.0276;-0.0489;-0.0148;0.4983
StkdT_12362;Checkpoint;0.0041;0.0078;0.0289;0.0208;0.0373;0.5059
StkdT_12316;Checkpoint;0.0044;0.0082;0.0252;0.0350;0.0151;0.3849
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0650;0.0053;0.0528;0.6242
StkdT_12364;Checkpoint;0.0055;0.0116;0.0141;0.0858;-0.2912;0.2881
StkdT_12363;Checkpoint;0.0037;0.0091;0.0497;0.0181;0.0566;0.3039
