Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12389;GCP;0.005;0.011;0;0.019;0.027;0.607
StkdT_12387;GCP;0.004;0.009;0.021;0.028;-0.031;0.526
StkdT_12319;GCP;0.004;0.008;0.002;-0.013;-0.025;0.442
StkdT_12383;GCP;0.004;0.007;-0.004;-0.001;-0.019;0.662
StkdT_12382;GCP;0.004;0.008;-0.009;0.004;-0.002;0.322
StkdT_12320;GCP;0.005;0.009;-0.01;0.005;0.018;0.391
StkdT_12381;GCP;0.005;0.009;0.003;-0.013;0.009;0.367
StkdT_12378;GCP;0.007;0.015;-0.005;-0.008;-0.022;0.247
StkdT_12379;GCP;0.006;0.013;0.012;0.015;-0.008;0.502
StkdT_12380;GCP;0.008;0.018;-0.019;-0.007;-0.002;0.382
StkdT_12375;GCP;0.009;0.021;-0.001;0.006;0.032;0.396
StkdT_12376;GCP;0.008;0.018;-0.01;-0.005;0.021;0.486
StkdT_12386;GCP;0.004;0.009;0.008;-0.002;-0.002;0.474
StkdT_12385;GCP;0.004;0.011;0.016;-0.023;0.006;0.534
StkdT_12384;GCP;0.004;0.01;0.011;0.004;0.013;0.467
StkdT_12371;GCP;0.004;0.008;0.007;0.022;-0.012;0.487
StkdT_12317;GCP;0.004;0.008;-0.004;-0.015;-0.029;0.627
StkdT_12316;GCP;0.004;0.008;0.005;0.013;0.001;0.388
StkdT_12369;GCP;0.005;0.009;-0.005;0.019;0.007;0.644
StkdT_12373;GCP;0.004;0.008;0.005;-0.014;0.007;0.643
StkdT_12318;GCP;0.004;0.007;0.001;0.013;0.024;0.464
StkdT_12370;GCP;0.004;0.007;0.005;-0.002;0.015;0.25
StkdT_12372;GCP;0.011;0.019;-0.029;0.007;0.025;0.637
StkdT_12374;GCP;0.006;0.01;-0.008;-0.016;-0.023;0.605
StkdT_12360;GCP;0.006;0.011;-0.003;-0.002;-0.006;0.364
StkdT_12361;GCP;0.006;0.014;0.005;-0.011;0;0.241
StkdT_12363;GCP;0.004;0.009;0.002;-0.002;0;0.296
StkdT_12388;Chk;0.0038;0.0082;-0.0131;0.0157;0.147;0.3495
StkdT_12303;Chk;0.005;0.0111;0.0578;-0.0271;-0.0432;0.525
StkdT_12362;Chk;0.0041;0.0078;0.0026;0.02;0.0126;0.5068
StkdT_12364;Chk;0.0055;0.0116;-0.0106;0.0438;-0.3428;0.2466
