Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12389;GCP;0.005;0.011;-0.001;0.015;0.007;0.617
StkdT_12388;GCP;0.004;0.008;-0.000;0.003;0.011;0.355
StkdT_12387;GCP;0.004;0.009;0.019;0.025;-0.035;0.538
StkdT_12320;GCP;0.005;0.009;-0.002;0.006;-0.013;0.392
StkdT_12381;GCP;0.005;0.009;0.003;-0.018;0.009;0.386
StkdT_12378;GCP;0.007;0.015;-0.017;-0.011;-0.033;0.309
StkdT_12379;GCP;0.006;0.013;0.009;0.014;-0.005;0.476
StkdT_12380;GCP;0.008;0.018;-0.017;-0.008;-0.003;0.346
StkdT_12303;GCP;0.005;0.011;0.024;-0.008;-0.011;0.525
StkdT_12375;GCP;0.009;0.021;0.002;-0.011;0.028;0.323
StkdT_12384;GCP;0.004;0.010;0.006;-0.008;0.010;0.435
StkdT_12371;GCP;0.004;0.008;0.005;0.016;-0.004;0.432
StkdT_12317;GCP;0.004;0.008;-0.004;-0.020;-0.037;0.590
StkdT_12362;GCP;0.004;0.008;-0.002;0.006;-0.031;0.532
StkdT_12316;GCP;0.004;0.008;0.008;0.014;0.024;0.491
StkdT_12374;GCP;0.006;0.010;-0.014;-0.012;0.004;0.421
StkdT_12361;GCP;0.006;0.014;0.016;-0.016;0.022;0.471
StkdT_12364;GCP;0.005;0.012;-0.003;0.017;-0.046;0.254
StkdT_12363;GCP;0.004;0.009;-0.008;-0.014;0.021;0.494
StkdT_12319;Checkpoint;0.0039;0.0076;0.0012;-0.0288;-0.0356;0.4062
StkdT_12383;Checkpoint;0.0039;0.0073;-0.0151;-0.0290;-0.0341;0.5681
StkdT_12382;Checkpoint;0.0043;0.0082;-0.0153;-0.0094;-0.0128;0.3726
StkdT_12376;Checkpoint;0.0076;0.0179;-0.0346;-0.0508;0.0647;0.3879
StkdT_12386;Checkpoint;0.0038;0.0094;0.0097;-0.0274;0.0298;0.4999
StkdT_12385;Checkpoint;0.0044;0.0107;0.0173;-0.0601;0.0078;0.4946
StkdT_12369;Checkpoint;0.0048;0.0087;-0.0095;0.0150;-0.0178;0.6458
StkdT_12373;Checkpoint;0.0043;0.0078;0.0072;-0.0285;0.0487;0.6258
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0108;0.0120;0.0954;0.4741
StkdT_12370;Checkpoint;0.0043;0.0074;-0.0056;-0.0233;0.0488;0.2349
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0833;0.0034;0.1050;0.5162
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0091;-0.0122;-0.0358;0.3066
