Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12389;GCP;0.005;0.011;-0.001;0.016;0.009;0.617
StkdT_12388;GCP;0.004;0.008;-0.000;0.003;0.011;0.356
StkdT_12387;GCP;0.004;0.009;0.023;0.029;-0.035;0.531
StkdT_12319;GCP;0.004;0.008;0.001;-0.014;-0.029;0.433
StkdT_12382;GCP;0.004;0.008;-0.009;0.003;-0.004;0.331
StkdT_12320;GCP;0.005;0.009;-0.001;0.006;-0.012;0.402
StkdT_12381;GCP;0.005;0.009;0.004;-0.015;0.013;0.375
StkdT_12378;GCP;0.007;0.015;-0.017;-0.012;-0.034;0.309
StkdT_12379;GCP;0.006;0.013;0.009;0.016;-0.003;0.498
StkdT_12380;GCP;0.008;0.018;-0.020;-0.005;-0.000;0.359
StkdT_12303;GCP;0.005;0.011;0.024;-0.009;-0.014;0.521
StkdT_12375;GCP;0.009;0.021;-0.002;0.005;0.024;0.381
StkdT_12376;GCP;0.008;0.018;-0.010;-0.007;0.014;0.483
StkdT_12386;GCP;0.004;0.009;0.007;-0.002;0.008;0.475
StkdT_12385;GCP;0.004;0.011;0.016;-0.024;0.011;0.534
StkdT_12384;GCP;0.004;0.010;0.010;0.005;0.009;0.463
StkdT_12371;GCP;0.004;0.008;0.006;0.022;-0.005;0.462
StkdT_12317;GCP;0.004;0.008;-0.004;-0.021;-0.035;0.581
StkdT_12362;GCP;0.004;0.008;0.000;0.005;-0.032;0.532
StkdT_12316;GCP;0.004;0.008;0.009;0.014;0.027;0.510
StkdT_12369;GCP;0.005;0.009;-0.005;0.010;-0.004;0.648
StkdT_12372;GCP;0.011;0.019;-0.030;0.009;0.041;0.568
StkdT_12374;GCP;0.006;0.010;-0.005;-0.015;-0.002;0.566
StkdT_12360;GCP;0.006;0.011;-0.002;-0.006;-0.005;0.338
StkdT_12361;GCP;0.006;0.014;0.019;-0.015;0.030;0.458
StkdT_12364;GCP;0.005;0.012;-0.003;0.017;-0.048;0.258
StkdT_12363;GCP;0.004;0.009;-0.007;-0.013;0.019;0.496
StkdT_12383;Checkpoint;0.0039;0.0073;-0.0038;-0.0052;-0.0414;0.6479
StkdT_12373;Checkpoint;0.0043;0.0078;0.0141;-0.0278;0.0559;0.6267
StkdT_12318;Checkpoint;0.0043;0.0074;0.0043;0.0220;0.0796;0.4427
StkdT_12370;Checkpoint;0.0043;0.0074;0.0111;-0.0014;0.0461;0.2927
