Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12389;GCP;0.005;0.011;-0.000;0.016;0.007;0.616
StkdT_12388;GCP;0.004;0.008;-0.000;0.003;0.011;0.355
StkdT_12387;GCP;0.004;0.009;0.022;0.026;-0.036;0.539
StkdT_12319;GCP;0.004;0.008;0.002;-0.018;-0.027;0.410
StkdT_12382;GCP;0.004;0.008;-0.009;-0.004;-0.006;0.347
StkdT_12320;GCP;0.005;0.009;-0.002;0.006;-0.014;0.394
StkdT_12381;GCP;0.005;0.009;0.004;-0.016;0.012;0.377
StkdT_12378;GCP;0.007;0.015;-0.017;-0.011;-0.033;0.309
StkdT_12379;GCP;0.006;0.013;0.009;0.015;-0.005;0.494
StkdT_12380;GCP;0.008;0.018;-0.018;-0.005;0.001;0.351
StkdT_12303;GCP;0.005;0.011;0.023;-0.009;-0.012;0.525
StkdT_12375;GCP;0.009;0.021;0.002;-0.003;0.040;0.351
StkdT_12384;GCP;0.004;0.010;0.009;-0.005;0.009;0.430
StkdT_12371;GCP;0.004;0.008;0.006;0.017;-0.004;0.426
StkdT_12317;GCP;0.004;0.008;-0.003;-0.021;-0.035;0.586
StkdT_12362;GCP;0.004;0.008;0.000;0.005;-0.032;0.531
StkdT_12316;GCP;0.004;0.008;0.009;0.014;0.026;0.503
StkdT_12369;GCP;0.005;0.009;-0.006;0.010;-0.007;0.650
StkdT_12374;GCP;0.006;0.010;-0.013;-0.010;0.012;0.446
StkdT_12360;GCP;0.006;0.011;-0.003;-0.005;-0.006;0.331
StkdT_12361;GCP;0.006;0.014;0.019;-0.015;0.030;0.452
StkdT_12364;GCP;0.005;0.012;-0.003;0.017;-0.047;0.256
StkdT_12363;GCP;0.004;0.009;-0.007;-0.013;0.020;0.494
StkdT_12383;Checkpoint;0.0039;0.0073;-0.0126;-0.0225;-0.0226;0.5611
StkdT_12376;Checkpoint;0.0076;0.0179;-0.0316;-0.0421;0.0744;0.3966
StkdT_12386;Checkpoint;0.0038;0.0094;0.0124;-0.0249;0.0301;0.4960
StkdT_12385;Checkpoint;0.0044;0.0107;0.0211;-0.0564;0.0101;0.4965
StkdT_12373;Checkpoint;0.0043;0.0078;0.0109;-0.0289;0.0573;0.6380
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0077;0.0134;0.0989;0.4757
StkdT_12370;Checkpoint;0.0043;0.0074;-0.0013;-0.0194;0.0553;0.2338
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0783;0.0046;0.1086;0.5329
