Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12389;GCP;0.005;0.011;-0.000;0.015;0.006;0.614
StkdT_12388;GCP;0.004;0.008;-0.001;0.003;0.010;0.355
StkdT_12387;GCP;0.004;0.009;0.017;0.018;-0.028;0.547
StkdT_12320;GCP;0.005;0.009;-0.005;0.006;-0.021;0.384
StkdT_12381;GCP;0.005;0.009;0.004;-0.020;0.016;0.392
StkdT_12378;GCP;0.007;0.015;-0.017;-0.012;-0.033;0.311
StkdT_12379;GCP;0.006;0.013;0.010;0.013;-0.005;0.469
StkdT_12380;GCP;0.008;0.018;-0.012;-0.009;0.007;0.351
StkdT_12303;GCP;0.005;0.011;0.024;-0.007;-0.010;0.526
StkdT_12317;GCP;0.004;0.008;-0.006;-0.014;-0.035;0.568
StkdT_12362;GCP;0.004;0.008;-0.004;0.006;-0.032;0.534
StkdT_12316;GCP;0.004;0.008;0.007;0.014;0.026;0.483
StkdT_12361;GCP;0.006;0.014;0.013;-0.014;0.027;0.457
StkdT_12364;GCP;0.005;0.012;-0.003;0.018;-0.047;0.252
StkdT_12363;GCP;0.004;0.009;-0.008;-0.014;0.020;0.493
StkdT_12319;Checkpoint;0.0039;0.0076;0.0110;-0.0363;0.0191;0.4189
StkdT_12383;Checkpoint;0.0039;0.0073;-0.0046;-0.0434;0.0598;0.5790
StkdT_12382;Checkpoint;0.0043;0.0082;-0.0091;-0.0196;0.0309;0.3960
StkdT_12375;Checkpoint;0.0091;0.0205;0.0194;-0.0219;0.1241;0.3641
StkdT_12376;Checkpoint;0.0076;0.0179;-0.0184;-0.0704;0.1881;0.3673
StkdT_12386;Checkpoint;0.0038;0.0094;0.0208;-0.0339;0.0962;0.5146
StkdT_12385;Checkpoint;0.0044;0.0107;0.0294;-0.0738;0.0901;0.4867
StkdT_12384;Checkpoint;0.0042;0.0100;0.0214;-0.0334;0.0785;0.4378
StkdT_12371;Checkpoint;0.0040;0.0082;0.0108;0.0325;0.0089;0.4291
StkdT_12369;Checkpoint;0.0048;0.0087;-0.0146;0.0154;-0.0111;0.6593
StkdT_12373;Checkpoint;0.0043;0.0078;-0.0014;-0.0304;0.0827;0.6743
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0115;0.0004;0.1700;0.4845
StkdT_12370;Checkpoint;0.0043;0.0074;0.0040;-0.0399;0.1510;0.2455
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0836;-0.0261;0.2034;0.5750
StkdT_12374;Checkpoint;0.0058;0.0103;-0.0415;-0.0370;0.0722;0.5149
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0215;-0.0157;-0.0097;0.3176
