Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12378;GCP;0.007;0.015;-0.000;0.000;0.000;0.282
StkdT_12362;GCP;0.004;0.008;0.002;0.000;-0.000;0.512
StkdT_12364;GCP;0.005;0.012;-0.001;-0.000;0.000;0.257
StkdT_12389;Checkpoint;0.0047;0.0107;0.0068;0.0254;0.0246;0.5975
StkdT_12388;Checkpoint;0.0038;0.0082;-0.0495;0.0082;0.1288;0.3491
StkdT_12387;Checkpoint;0.0043;0.0090;0.0686;-0.0100;-0.2693;0.5144
StkdT_12319;Checkpoint;0.0039;0.0076;0.0447;-0.0562;-0.1497;0.4452
StkdT_12383;Checkpoint;0.0039;0.0073;0.0412;-0.0577;-0.2005;0.5541
StkdT_12382;Checkpoint;0.0043;0.0082;0.0381;-0.0420;-0.2270;0.3675
StkdT_12320;Checkpoint;0.0050;0.0090;-0.0079;-0.0407;-0.0699;0.3963
StkdT_12381;Checkpoint;0.0049;0.0093;0.0373;-0.0504;-0.1085;0.3265
StkdT_12379;Checkpoint;0.0059;0.0130;0.0448;0.0035;-0.0754;0.3932
StkdT_12380;Checkpoint;0.0080;0.0175;0.0180;-0.0392;-0.0702;0.3267
StkdT_12303;Checkpoint;0.0050;0.0111;0.0827;-0.0189;-0.0095;0.5629
StkdT_12375;Checkpoint;0.0091;0.0205;0.0533;-0.0328;-0.0347;0.3496
StkdT_12376;Checkpoint;0.0076;0.0179;0.0307;-0.0732;-0.0222;0.4071
StkdT_12386;Checkpoint;0.0038;0.0094;0.0675;-0.0494;-0.2997;0.5077
StkdT_12385;Checkpoint;0.0044;0.0107;0.0800;-0.0894;-0.2819;0.4803
StkdT_12384;Checkpoint;0.0042;0.0100;0.0737;-0.0506;-0.2811;0.4277
StkdT_12371;Checkpoint;0.0040;0.0082;0.0489;0.0146;-0.3696;0.4317
StkdT_12317;Checkpoint;0.0040;0.0080;0.0255;-0.0352;-0.3483;0.5014
StkdT_12316;Checkpoint;0.0044;0.0082;0.0177;-0.0182;0.0875;0.3825
StkdT_12369;Checkpoint;0.0048;0.0087;0.0122;-0.0032;-0.1041;0.6234
StkdT_12373;Checkpoint;0.0043;0.0078;0.0369;-0.0578;-0.1621;0.6427
StkdT_12318;Checkpoint;0.0043;0.0074;0.0383;-0.0209;-0.1271;0.4874
StkdT_12370;Checkpoint;0.0043;0.0074;0.0555;-0.0534;-0.1704;0.2415
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0173;-0.0462;-0.0031;0.5916
StkdT_12374;Checkpoint;0.0058;0.0103;0.0173;-0.0745;-0.0764;0.5379
StkdT_12360;Checkpoint;0.0057;0.0107;0.0214;-0.0613;-0.0193;0.3875
StkdT_12361;Checkpoint;0.0064;0.0137;0.0291;-0.0829;0.1338;0.1817
StkdT_12363;Checkpoint;0.0037;0.0091;-0.0001;-0.0438;0.2670;0.3040
